period,user_id,daily_pageviews
2018-10-09T00:00:00Z,818,13
2018-10-10T00:00:00Z,818,2
2018-10-11T00:00:00Z,818,1
2018-10-13T00:00:00Z,818,1
2018-10-14T00:00:00Z,818,14
2018-10-15T00:00:00Z,818,8
2018-10-16T00:00:00Z,818,18
2018-10-17T00:00:00Z,818,6
2018-10-28T00:00:00Z,818,16
2018-10-29T00:00:00Z,818,25
2018-10-30T00:00:00Z,818,8
2018-11-04T00:00:00Z,818,7
2018-11-10T00:00:00Z,818,1
2018-11-11T00:00:00Z,818,2
2018-11-12T00:00:00Z,818,6
2018-11-13T00:00:00Z,818,7
2018-11-14T00:00:00Z,818,11
2018-09-26T00:00:00Z,860,4
2018-10-02T00:00:00Z,860,2
2018-10-03T00:00:00Z,860,20
2018-10-07T00:00:00Z,860,11
2018-10-09T00:00:00Z,860,1
2018-10-18T00:00:00Z,860,10
2018-09-20T00:00:00Z,956,5
2018-09-21T00:00:00Z,956,5
2018-09-23T00:00:00Z,956,18
2018-09-25T00:00:00Z,956,43
2018-09-27T00:00:00Z,956,14
2018-10-02T00:00:00Z,956,9
2018-10-03T00:00:00Z,956,59
2018-10-05T00:00:00Z,956,1
2018-10-07T00:00:00Z,956,20
2018-10-08T00:00:00Z,956,23
2018-10-14T00:00:00Z,956,13
2018-10-15T00:00:00Z,956,7
2018-10-16T00:00:00Z,956,2
2018-10-17T00:00:00Z,956,11
2018-10-22T00:00:00Z,956,1
2018-10-23T00:00:00Z,956,24
2018-10-24T00:00:00Z,956,29
2018-10-25T00:00:00Z,956,10
2018-10-29T00:00:00Z,956,1
2018-10-30T00:00:00Z,956,12
2018-10-31T00:00:00Z,956,13
2018-11-03T00:00:00Z,956,6
2018-11-05T00:00:00Z,956,15
2018-11-06T00:00:00Z,956,10
2018-11-07T00:00:00Z,956,14
2018-11-08T00:00:00Z,956,5
2018-11-12T00:00:00Z,956,7
2018-11-13T00:00:00Z,956,4
2018-11-14T00:00:00Z,956,29
2018-11-15T00:00:00Z,956,10
2018-09-22T00:00:00Z,1036,8
2018-09-24T00:00:00Z,1036,2
2018-09-26T00:00:00Z,1036,13
2018-10-01T00:00:00Z,1036,3
2018-10-02T00:00:00Z,1036,23
2018-10-03T00:00:00Z,1036,3
2018-10-07T00:00:00Z,1036,32
2018-10-09T00:00:00Z,1036,10
2018-10-22T00:00:00Z,1036,6
2018-10-23T00:00:00Z,1036,21
2018-10-24T00:00:00Z,1036,18
2018-11-06T00:00:00Z,1036,32
2018-11-07T00:00:00Z,1036,5
2018-11-08T00:00:00Z,1036,1
2018-11-09T00:00:00Z,1036,5
2018-11-11T00:00:00Z,1036,8
2018-11-16T00:00:00Z,1036,2
2018-09-20T00:00:00Z,1044,2
2018-09-25T00:00:00Z,1044,7
2018-09-26T00:00:00Z,1044,1
2018-09-27T00:00:00Z,1044,56
2018-09-28T00:00:00Z,1044,1
2018-10-01T00:00:00Z,1044,8
2018-10-03T00:00:00Z,1044,13
2018-10-04T00:00:00Z,1044,10
2018-10-05T00:00:00Z,1044,1
2018-10-06T00:00:00Z,1044,24
2018-10-07T00:00:00Z,1044,37
2018-10-08T00:00:00Z,1044,12
2018-10-09T00:00:00Z,1044,3
2018-10-11T00:00:00Z,1044,1
